class_id,鸟种,科学名,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm,主要生活方式,主要食性,栖息地,分布范围_km2
85,Horned Lark,Eremophila alpestris,33.3,23.5,108.1,71.4,13.9,4.2,5.0,Terrestrial,Omnivore,Grassland,35118904.89
86,Pacific Loon,Gavia pacifica,2251.1,72.8,291.2,48.4,71.9,8.3,12.9,Aquatic,Aquatic predator,Wetland,5397186.87
87,Mallard,Anas platyrhynchos,843.4,40.6,263.4,86.9,58.5,20.8,17.8,Aquatic,Herbivore aquatic,Wetland,39707247.47
88,Western Meadowlark,Sturnella neglecta,100.1,35.0,117.0,71.6,33.8,6.1,7.5,Terrestrial,Invertivore,Grassland,6719237.68
89,Hooded Merganser,Lophodytes cucullatus,613.8,29.2,186.6,85.6,39.6,8.3,9.3,Aquatic,Aquatic predator,Wetland,5510396.5
90,Red breasted Merganser,Mergus serrator,1015.2,45.5,233.6,76.2,65.0,8.2,10.6,Aquatic,Aquatic predator,Wetland,23632905.44
91,Mockingbird,Mimus polyglottos,48.5,32.2,112.3,117.6,22.1,4.6,5.3,Generalist,Omnivore,Shrubland,10145517.51
92,Nighthawk,Chordeiles minor,79.3,16.7,192.8,104.0,12.7,3.3,2.7,Aerial,Invertivore,Grassland,13037233.58
93,Clark Nutcracker,Nucifraga columbiana,129.8,36.7,191.0,112.0,44.3,11.6,12.3,Insessorial,Omnivore,Forest,2287629.4
94,White breasted Nuthatch,Sitta carolinensis,21.0,18.5,88.6,48.8,19.1,4.0,4.2,Insessorial,Omnivore,Forest,8811748.35
95,Baltimore Oriole,Icterus galbula,32.8,23.4,92.1,73.3,21.1,5.0,6.4,Insessorial,Invertivore,Forest,4604558.64
96,Hooded Oriole,Icterus cucullatus,24.3,21.6,83.4,91.4,21.2,4.3,5.2,Insessorial,Omnivore,Woodland,1181319.94
97,Orchard Oriole,Icterus spurius,19.4,21.3,76.3,67.2,17.3,4.4,5.2,Insessorial,Invertivore,Forest,4816791.26
98,Scott Oriole,Icterus parisorum,36.5,22.7,98.9,87.2,24.0,5.3,6.3,Insessorial,Invertivore,Shrubland,1741688.63
99,Ovenbird,Seiurus aurocapilla,18.8,22.3,73.2,50.4,15.1,3.6,4.1,Terrestrial,Invertivore,Forest,5222797.22
100,Brown Pelican,Pelecanus occidentalis,3427.8,71.7,494.6,128.2,319.5,38.8,43.4,Aerial,Aquatic predator,Marine,1823742.36
101,White Pelican,Pelecanus onocrotalus,9322.3,128.5,646.4,160.8,359.0,54.4,49.1,Aquatic,Aquatic predator,Wetland,810182.64
102,Western Wood Pewee,Contopus sordidulus,13.1,13.8,82.6,60.2,16.4,6.4,4.1,Insessorial,Invertivore,Forest,6939803.44
103,Sayornis,Sayornis phoebe,19.7,17.7,83.9,70.1,17.4,5.5,4.1,Insessorial,Invertivore,Forest,6246276.45
104,American Pipit,Anthus rubescens,20.7,21.2,85.0,67.6,14.5,3.1,3.1,Terrestrial,Invertivore,Grassland,12413847.38
105,Whip poor Will,Caprimulgus vociferus,53.3,16.0,157.2,112.8,19.9,4.2,2.9,Generalist,Invertivore,Forest,4417326.01
106,Horned Puffin,Fratercula corniculata,536.1,32.1,185.5,63.3,51.0,7.3,31.6,Aquatic,Aquatic predator,Marine,1467964.71
107,Common Raven,Corvus corax,928.0,67.1,419.7,228.7,77.0,21.9,27.9,Terrestrial,Omnivore,Forest,52288449.5
108,White necked Raven,Corvus albicollis,894.0,75.2,417.1,165.6,65.9,19.6,34.0,Terrestrial,Omnivore,Rock,1615598.28
109,American Redstart,Setophaga ruticilla,8.2,17.0,62.0,52.6,12.3,4.0,3.0,Insessorial,Invertivore,Forest,6675504.95
110,Geococcyx,Geococcyx californianus,376.0,59.5,181.0,287.4,57.8,10.1,12.5,Terrestrial,Invertivore,Shrubland,3008009.53
111,Loggerhead Shrike,Lanius ludovicianus,51.6,27.7,96.4,96.7,21.1,6.5,8.8,Insessorial,Invertivore,Shrubland,8852504.29
112,Great Grey Shrike,Lanius excubitor,63.4,29.4,109.2,106.2,23.2,6.9,9.3,Insessorial,Vertivore,Shrubland,35088491.93
113,Baird Sparrow,Ammodramus bairdii,18.1,22.6,65.6,42.6,11.8,4.8,5.1,Generalist,Granivore,Grassland,830096.01
114,Black throated Sparrow,Amphispiza bilineata,13.5,18.1,63.5,64.8,11.7,4.6,5.9,Generalist,Omnivore,Shrubland,2450691.64
115,Brewer Sparrow,Spizella breweri,10.9,16.8,62.8,57.3,12.3,3.6,4.4,Generalist,Omnivore,Shrubland,3238311.53
116,Chipping Sparrow,Spizella passerina,12.2,16.3,68.0,56.0,13.1,4.0,4.9,Generalist,Omnivore,Forest,13081064.54
117,Clay colored Sparrow,Spizella pallida,11.2,17.4,60.8,56.8,10.1,3.4,4.9,Generalist,Granivore,Shrubland,3219955.48
118,House Sparrow,Passer domesticus,26.5,18.4,75.7,56.8,14.0,6.6,7.7,Terrestrial,Granivore,Human Modified,34661699.72
119,Field Sparrow,Spizella pusilla,12.5,17.9,64.4,62.0,10.4,4.3,5.2,Generalist,Granivore,Grassland,3997616.97
120,Fox Sparrow,Passerella iliaca,33.3,24.1,83.7,71.3,13.5,5.3,7.4,Generalist,Omnivore,Forest,7385410.19
121,Grasshopper Sparrow,Ammodramus savannarum,17.6,20.1,58.2,41.4,13.8,4.5,6.1,Generalist,Invertivore,Grassland,5240941.22
