,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm
shape_solidity,0.33515701966725303,0.25555619751689285,0.35117425471710656,0.19407430411004004,0.2772664731189891,0.179369734669789,0.24512793411768974
shape_compactness,0.41951085606813965,0.22549186553246697,0.4701541484782354,0.2521019622657528,0.39173234950717417,0.23537509478160876,0.30589103807910806
hu_1,-0.021505473122333668,-0.08200542895624666,0.045294637148979286,0.14661458452521653,0.021263166676901788,0.0011747487735421485,-0.030359424120562965
hu_2,0.17376734293336968,0.09170060035635864,0.2550123097560208,0.3152793341352858,0.22081696212141227,0.16154671033352597,0.13151749935155377
hu_3,0.02255025825327256,-0.024906974832393538,0.03849417888483736,0.01209200181972161,0.0056651274440240994,0.02221220382157281,0.0018587402522793654
hu_4,-0.12417642543692425,-0.14882680640205953,-0.07812389254544519,0.012071000948182583,-0.0924774113876541,-0.06937694177745755,-0.09815768741455921
hu_5,-0.039296071331860215,-0.015181801354608294,-0.04735870036094781,-0.023106208910815263,-0.03700896575440714,-0.0424372368250657,-0.03526205781261217
hu_6,0.03661998134823497,-0.015550826909989317,0.03173047174619923,0.03100253660948969,0.020857389641655257,0.035313728297890576,0.037987910143840266
hu_7,0.007070487745413438,0.014917783071083658,0.05065505131174783,0.1547374216240619,-0.02950846602711454,0.06303134798729597,0.02969558831617748
glcm_contrast_mean,-0.15562948304715635,-0.032228981888551146,-0.18395663367481663,0.04069518885587738,-0.1688647507603201,0.0020456832090992587,-0.09585563986240209
glcm_contrast_std,-0.11490611372234803,-0.023518628688063713,-0.11788111011086212,0.04435759084605854,-0.10113823842275886,0.06339367471630035,-0.055275394645164934
glcm_dissimilarity_mean,-0.226562368168057,-0.04042254930111678,-0.28099460546423793,-0.05081460881318317,-0.2629645202389876,-0.1012444402760808,-0.1686758022641507
glcm_dissimilarity_std,-0.2529280047135666,-0.08146239135036076,-0.2808176000434441,-0.15676925594546284,-0.2345166248733122,-0.10006519054938331,-0.19194305968362352
glcm_homogeneity_mean,0.25374403215251956,0.04444357776127463,0.31708121061709166,0.09141529374713493,0.3002660054827591,0.14440633055915525,0.2016605657240913
glcm_homogeneity_std,-0.30977466618467303,-0.09872333668772555,-0.36345213072725363,-0.32077181207386796,-0.30316869887722137,-0.19384329969962438,-0.2564258944404629
glcm_ASM_mean,0.17730146176824696,-0.031320668986993386,0.21105496356159814,0.14728661241446542,0.184501042541807,0.09024486092330397,0.14424889495362708
glcm_ASM_std,-0.17807173766880277,-0.19935180530770272,-0.19913784859976388,-0.29209512198732557,-0.12166860627630416,-0.14655403537310874,-0.1103160089436941
glcm_energy_mean,0.1855412388310572,-0.022957589835573868,0.22104901962972334,0.14002031086196182,0.195485524392427,0.09965335333567027,0.15223367703010562
