,precision,recall,f1-score,support
85,0.14814814814814814,0.13333333333333333,0.14035087719298245,30.0
86,0.17857142857142858,0.16666666666666666,0.1724137931034483,30.0
87,0.5,0.06666666666666667,0.11764705882352941,30.0
88,0.13953488372093023,0.2,0.1643835616438356,30.0
89,0.11428571428571428,0.26666666666666666,0.16,30.0
90,0.13846153846153847,0.3,0.18947368421052632,30.0
91,0.0,0.0,0.0,30.0
92,0.17073170731707318,0.23333333333333334,0.19718309859154928,30.0
93,0.041666666666666664,0.06666666666666667,0.05128205128205128,30.0
94,0.0,0.0,0.0,30.0
95,0.15584415584415584,0.4,0.22429906542056074,30.0
96,0.0,0.0,0.0,30.0
97,0.0,0.0,0.0,29.0
98,0.08333333333333333,0.03333333333333333,0.047619047619047616,30.0
99,0.0,0.0,0.0,30.0
100,0.0,0.0,0.0,30.0
101,0.06666666666666667,0.15,0.09230769230769231,20.0
102,0.07142857142857142,0.03333333333333333,0.045454545454545456,30.0
103,0.0,0.0,0.0,30.0
104,0.0,0.0,0.0,30.0
105,0.25,0.10526315789473684,0.14814814814814814,19.0
106,0.022222222222222223,0.06666666666666667,0.03333333333333333,30.0
107,0.13333333333333333,0.13333333333333333,0.13333333333333333,30.0
108,0.3333333333333333,0.03333333333333333,0.06060606060606061,30.0
109,0.09090909090909091,0.13333333333333333,0.10810810810810811,30.0
110,0.0875,0.23333333333333334,0.12727272727272726,30.0
111,0.0,0.0,0.0,30.0
112,1.0,0.03333333333333333,0.06451612903225806,30.0
113,0.07936507936507936,0.25,0.12048192771084337,20.0
114,0.3333333333333333,0.03333333333333333,0.06060606060606061,30.0
115,0.0,0.0,0.0,29.0
116,0.0,0.0,0.0,30.0
117,0.0,0.0,0.0,29.0
118,0.0,0.0,0.0,30.0
119,0.0,0.0,0.0,29.0
120,0.05263157894736842,0.03333333333333333,0.04081632653061224,30.0
121,0.0,0.0,0.0,30.0
122,0.0,0.0,0.0,30.0
123,0.1875,0.1,0.13043478260869565,30.0
124,0.05555555555555555,0.3103448275862069,0.09424083769633508,29.0
125,0.0,0.0,0.0,29.0
126,0.03636363636363636,0.06666666666666667,0.047058823529411764,30.0
127,0.0,0.0,0.0,30.0
128,0.125,0.03333333333333333,0.05263157894736842,30.0
129,0.0,0.0,0.0,30.0
130,0.0,0.0,0.0,30.0
131,0.0,0.0,0.0,30.0
132,0.0,0.0,0.0,30.0
133,0.03125,0.03333333333333333,0.03225806451612903,30.0
134,0.2692307692307692,0.23333333333333334,0.25,30.0
135,0.05555555555555555,0.03333333333333333,0.041666666666666664,30.0
136,0.0,0.0,0.0,30.0
137,0.0,0.0,0.0,30.0
138,0.0,0.0,0.0,30.0
139,0.21333333333333335,0.5333333333333333,0.3047619047619048,30.0
140,0.225,0.3,0.2571428571428571,30.0
141,0.0196078431372549,0.034482758620689655,0.025,29.0
142,0.06896551724137931,0.06666666666666667,0.06779661016949153,30.0
143,0.1566265060240964,0.43333333333333335,0.23008849557522124,30.0
144,0.021739130434782608,0.03333333333333333,0.02631578947368421,30.0
145,0.1,0.13333333333333333,0.11428571428571428,30.0
146,0.0,0.0,0.0,30.0
147,0.2222222222222222,0.06666666666666667,0.10256410256410256,30.0
148,0.0,0.0,0.0,30.0
149,0.05263157894736842,0.06896551724137931,0.05970149253731343,29.0
150,0.04878048780487805,0.06666666666666667,0.056338028169014086,30.0
151,0.0,0.0,0.0,21.0
152,0.0,0.0,0.0,30.0
153,0.037037037037037035,0.06896551724137931,0.04819277108433735,29.0
154,0.0,0.0,0.0,30.0
155,0.0,0.0,0.0,30.0
156,0.05,0.03333333333333333,0.04,30.0
157,0.0,0.0,0.0,29.0
158,0.0,0.0,0.0,30.0
159,0.0,0.0,0.0,30.0
160,0.0,0.0,0.0,29.0
161,0.045454545454545456,0.06666666666666667,0.05405405405405406,30.0
162,0.0,0.0,0.0,30.0
163,0.10526315789473684,0.06666666666666667,0.08163265306122448,30.0
164,0.21052631578947367,0.26666666666666666,0.23529411764705882,30.0
165,0.0,0.0,0.0,30.0
166,0.16666666666666666,0.06896551724137931,0.0975609756097561,29.0
167,0.2,0.03333333333333333,0.05714285714285714,30.0
168,0.0,0.0,0.0,29.0
169,0.13333333333333333,0.27586206896551724,0.1797752808988764,29.0
170,0.14285714285714285,0.03333333333333333,0.05405405405405406,30.0
171,0.25,0.03333333333333333,0.058823529411764705,30.0
172,0.045454545454545456,0.03333333333333333,0.038461538461538464,30.0
173,0.0,0.0,0.0,30.0
174,0.0,0.0,0.0,30.0
175,0.07692307692307693,0.03333333333333333,0.046511627906976744,30.0
176,0.0,0.0,0.0,30.0
177,0.07954545454545454,0.23333333333333334,0.11864406779661017,30.0
178,0.17647058823529413,0.11538461538461539,0.13953488372093023,26.0
179,0.0,0.0,0.0,29.0
180,0.0847457627118644,0.16666666666666666,0.11235955056179775,30.0
181,0.0,0.0,0.0,29.0
182,0.029411764705882353,0.06666666666666667,0.04081632653061224,30.0
183,0.0,0.0,0.0,30.0
184,0.04,0.03333333333333333,0.03636363636363636,30.0
185,0.12903225806451613,0.13333333333333333,0.13114754098360656,30.0
186,0.2,0.03333333333333333,0.05714285714285714,30.0
187,0.09230769230769231,0.3,0.1411764705882353,20.0
188,0.0,0.0,0.0,30.0
189,0.07692307692307693,0.03333333333333333,0.046511627906976744,30.0
190,0.08888888888888889,0.13793103448275862,0.10810810810810811,29.0
191,0.26666666666666666,0.13333333333333333,0.17777777777777778,30.0
192,0.06818181818181818,0.1,0.08108108108108109,30.0
193,0.0,0.0,0.0,30.0
194,0.08333333333333333,0.1,0.09090909090909091,30.0
195,0.07692307692307693,0.03333333333333333,0.046511627906976744,30.0
196,0.1111111111111111,0.03333333333333333,0.05128205128205128,30.0
197,0.043478260869565216,0.03333333333333333,0.03773584905660377,30.0
198,0.06666666666666667,0.03333333333333333,0.044444444444444446,30.0
199,0.0,0.0,0.0,30.0
200,0.5,0.03333333333333333,0.0625,30.0
accuracy,0.0866413531239213,0.0866413531239213,0.0866413531239213,0.0866413531239213
macro avg,0.08768813048602929,0.08793861341466487,0.07058999281414818,5794.0
weighted avg,0.08841190353088654,0.0866413531239213,0.07045561896712073,5794.0
